candidate_id,area_ha,site_type,nfm_potential_raw,overlap_rofrs_pct,dist_built_up_km,n_built_up_within_5km,overlap_recorded_flood_pct,overlap_habitat_networks_pct,dist_phi_km,dist_recorded_restoration_km,overlap_built_up_pct,road_km_within,road_density_km_per_km2,overlap_protected_pct,protected_site_flag,score_default,rank_default,score_equal,rank_equal,score_exposure_heavy,rank_exposure_heavy,score_habitat_heavy,rank_habitat_heavy,composite_score,rank,band,top10_stability,data_confidence,data_confidence_note
C16,299.99643879583294,Candidate Site,299.99643879583294,0.000259386373754313,0.07654984893811113,16,0.0,92.93719452885252,0.0,2.9849294052666133,0.0,1.6681564194179266,0.556058740601656,0.0,None,0.5706184383255921,1,0.6626875137392412,1,0.5307213671704103,2,0.5630982225292589,2,0.5706184383255921,1,Strong,4,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C19,600.0024260000242,Candidate Site,600.0024260000242,0.9976370109464531,0.0,21,0.5677552683952738,85.25994734447357,0.0,5.07872573875264,9.561656610167176,25.415194576574986,4.235848635814342,0.0,None,0.5705484704274705,2,0.6562627561417562,2,0.5319632669696671,1,0.5419862251136253,4,0.5705484704274705,2,Strong,4,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C17,2076.30076483698,Investigation Zone,2076.30076483698,3.589288379946958,0.0,16,0.012460376659305841,90.24986929442942,0.0,2.2356110742106443,10.299021340568872,58.98827245298724,2.8410273430505955,6.311921845128578,Clitheroe Knoll Reefs SSSI; Coplow Quarry SSSI; Little Mearley Clough SSSI; Salthill and Bellmanpark Quarries SSSI; Bellmanpark lime kilns and part of an associated tramway 180m north west of Bellman Farm,0.5517155739217957,3,0.6079502287764362,6,0.5163592586212336,3,0.5199701372658617,5,0.5517155739217957,3,Strong,4,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C07,756.3950750845634,Candidate Site,756.3950750845634,7.155764993800013,0.0,11,0.020341960273399694,9.021475518659464,0.0,13.59854780541173,17.59891306486548,31.467948925408134,4.160253016175454,0.0,None,0.5339842801088517,4,0.6088414229659945,5,0.5013462767455912,5,0.46621913949388233,13,0.5339842801088517,4,Strong,3,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C20,3574.601009000914,Investigation Zone,3574.601009000914,1.4024911830636277,0.0,19,0.04005810746340707,52.5146840360309,0.0,1.7591723849317071,8.13780339172995,135.43152115543538,3.7887171411415204,0.00026247019116109374,Higherford Old Bridge,0.5303518395610888,5,0.5627052047730982,8,0.5053253748580719,4,0.47225169429243025,12,0.5303518395610888,5,Strong,3,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C21,187.34517494556906,Candidate Site,187.34517494556906,0.0,0.49732200269635757,8,0.0,94.42940336261948,0.0,5.021575420074706,0.0,1.4845737704337953,0.7924270111921061,0.0,None,0.5242812356468768,6,0.6257098070754482,4,0.48324997703500283,7,0.5421115985309832,3,0.5242812356468768,6,Strong,4,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C14,62.17249588099483,Candidate Site,62.17249588099483,0.0,0.0,6,0.0,99.99999988133675,0.0,4.984804836598123,5.818902776987771,2.9426150486404685,4.732985232365395,0.0,None,0.5212857142857142,7,0.6378571428571428,3,0.484,6,0.5832857142857142,1,0.5212857142857142,7,Strong,4,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C10,1249.603223486447,Investigation Zone,1249.603223486447,1.7644388672648277,0.0,11,0.0008358148741484366,69.56783691110981,0.0,1.7766745166370816,18.81852241983109,53.266163656850516,4.2626461468493675,0.05767020257619182,Red Scar and Tun Brook Woods SSSI,0.5052675211033889,8,0.5450614335627202,12,0.48151655632235846,8,0.46612257442334637,14,0.5052675211033889,8,Strong,2,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C22,599.994068492214,Candidate Site,599.994068492214,0.031850946852723716,1.1773362515400247,3,0.0,88.16664089830638,0.0,1.7874679436970042,0.0,10.356893356650241,1.7261659573864006,0.0,None,0.4912257051820638,9,0.538807969971964,13,0.4536316718711563,12,0.4821419248403213,11,0.4912257051820638,9,Strong,1,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C15,199.99662386816718,Candidate Site,199.99662386816718,0.0,0.0,8,0.0,52.437145860082005,0.0,3.7482123199995674,59.97578189402885,23.477005978797372,11.738701146411769,0.0,None,0.491,10,0.5795714285714285,7,0.46171428571428574,10,0.46099999999999997,16,0.491,10,Moderate,3,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
